D22,E22,F22,mean_WT-delta-intron-1mon-49,std_WT-delta-intron-1mon-49
41.63929179634594,41.02433485778048,41.509918286417694,41.39118164684803,0.3242172130758489
41.156338105996426,40.50459330435222,41.64399709498737,41.101642835112,0.5716676735842926
40.35820739911845,41.67083017194645,40.6144691333612,40.88116890147536,0.6957666352095219
40.706314241117745,41.48471198899973,40.33598587408683,40.8423373680681,0.5863187188464427
40.10719779318486,40.764305798342214,40.36207350294268,40.41119236482325,0.3312962866601459
41.67198729718995,40.38111140930848,41.323506242911975,41.1255349831368,0.667820787525493
40.70242005987434,41.72060203230047,40.81963966815661,41.08088725344381,0.557100850705851
40.799699502861195,41.39074447143627,40.49840307322935,40.89628234917561,0.45394325349113457
41.49635057288629,41.81493240159932,41.742188294041206,41.684490422842266,0.16694423815214735
41.327219522053255,40.27193263209351,41.1820964096687,40.92708285460515,0.5719978496286847
41.495376854496726,41.74914160348517,40.4340481848401,41.22618888094067,0.6976491229631896
40.751640489286125,41.664868829331525,41.39889888307419,41.27180273389728,0.46969306319895615
41.83803945895946,40.235421411206715,41.64850719709667,41.24065602242095,0.8757014829603621
41.13683295943581,40.05854023567719,41.86947210724457,41.02161510078586,0.9109472690987884
41.253813462529884,42.284697011691804,40.88480482072326,41.474438431648316,0.7255556969196503
40.57562061310737,41.15654210537534,40.7626855492505,40.8316160892444,0.2965316333084872
40.695443671650516,40.417499140503836,40.04731332979611,40.386752047316826,0.32515730471983095
42.70546530323844,41.65656818932683,40.23450008166041,41.53217785807522,1.2401701485859546
40.8104248453311,40.85933520588055,40.21624604806764,40.628668699759764,0.3580047325997814
39.762095270404316,40.58832861768597,40.649642524781186,40.33335547095716,0.4956748040324156
40.26645214246951,40.61690418856293,40.351781505530596,40.41171261218768,0.18275109387257396
